都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
092088,0111000001,栃木県,小山市,小山市役所,オヤマシヤクショ,栃木県小山市中央町1-1ｰ1,,36.314502,139.800732,1階,(0285)23-1111,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000002,栃木県,小山市,道の駅思川,ミチノエキオモイガワ,栃木県小山市下国府塚25-1,,36.308174,139.760202,事務室,(0285)38-0201,,4000020092088,小山市,月火水木金土日,9:00,18:00,,有,,
092088,0111000003,栃木県,小山市,小山市立文化センター,オヤマシリツブンカセンター,栃木県小山市中央町1-1-1,,36.313359,139.800381,1階事務室,(0285)22-9552,,4000020092088,小山市,月火水木金土日,9:00,21:30,年末年始を除く。,有,,
092088,0111000004,栃木県,小山市,小山運動公園,オヤマウンドウコウエン,栃木県小山市向野187,,36.313166,139.851128,事務室,(0285)49-3523,,4000020092088,小山市,月火水木金土日,8:00,22:00,祝日、年末年始を除く。,有,,
092088,0111000005,栃木県,小山市,小山市生涯学習センター,オヤマシショウガイガクシュウセンター,栃木県小山市中央町3-7-1,ロブレ6階,36.312618,139.805274,事務室,(0285)22-9111,,4000020092088,小山市,月火水木金土日,9:00,21:30,年末年始を除く。,有,,
092088,0111000006,栃木県,小山市,小山城南出張所,オヤマジョウナンシュッチョウジョ,栃木県小山市東城南4-1-12,,36.293212,139.807779,窓口,(0285)31-3650,,4000020092088,小山市,月火水木金・第2・4日曜日,8:30,17:15,土曜日、第1・３・５日曜日、祝日、年末年始を除く。,有,,
092088,0111000007,栃木県,小山市,大谷出張所,オオヤシュッチョウジョ,栃木県小山市横倉499-6,,36.277686,139.832118,入口,(0285)28-0004,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000008,栃木県,小山市,間々田出張所,ママダシュッチョウジョ,栃木県小山市間々田1960-1,,36.270918,139.761119,窓口,(0285)45-1335,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000009,栃木県,小山市,桑出張所,クワシュッチョウジョ,栃木県小山市羽川858-1,,36.350425,139.835638,窓口,(0285)22-4545,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000010,栃木県,小山市,生井出張所,ナマイシュッチョウジョ,栃木県小山市大字生良1054-2,,36.261157,139.72861,窓口,(0285)45-4004,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000011,栃木県,小山市,寒川出張所,サンガワシュッチョウジョ,栃木県小山市大字中里869-1,,36.291426,139.734981,窓口,(0285)38-1002,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000012,栃木県,小山市,豊田出張所,トヨダシュッチョウジョ,栃木県小山市大字松沼467番地,,36.348852,139.781084,窓口,(0285)37-1002,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000013,栃木県,小山市,中出張所,ナカシュッチョウジョ,栃木県小山市下河原田864,,36.314793,139.742056,窓口,(0285)38-0002,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000014,栃木県,小山市,穂積出張所,ホヅミシュッチョウジョ,栃木県小山市萩島61,,36.313247,139.77335,窓口,(0285)38-2004,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000015,栃木県,小山市,絹出張所,キヌシュッチョウジョ,栃木県小山市福良1119-1,,36.328049,139.896283,窓口,(0285)49-0027,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000016,栃木県,小山市,小山市社会福祉協議会,オヤマシシャカイフクシキョウギカイ,栃木県小山市中央町2-2-21,,36.313804,139.80175,1階社会福祉協議会窓口,(0285)22-9501,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000017,栃木県,小山市,健康医療介護総合支援センター,ケンコウイリョウカイゴソウゴウシエンセンター,栃木県小山市神鳥谷2251-7,,36.276009,139.801796,事務室,,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000018,栃木県,小山市,小山市立中央図書館,オヤマシリツチュウオウトショカン,栃木県小山市城東1-19-40,,36.310487,139.817268,１階フロアー,(0285)21-0753,,4000020092088,小山市,火水木金土日,9:00,19:00,図書館の開館日に従う。,有,,
092088,0111000019,栃木県,小山市,小山市立博物館,オヤマシリツハクブツカン,栃木県小山市乙女1-31-7,,36.261525,139.755535,事務室,(0285)45-5331,,4000020092088,小山市,火水木金土日,9:00,17:00,第四金曜日休館。博物館の開館日に従う。,有,,
092088,0111000020,栃木県,小山市,やはた保育所,ヤハタホイクショ,栃木県小山市八幡町2-8-8,,36.308682,139.797492,事務室,(0285)21-2725,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000021,栃木県,小山市,城北保育所,ジョウホクホイクショ,栃木県小山市駅東通り3-15-1,,36.317845,139.811878,事務室,(0285)24-1197,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000022,栃木県,小山市,絹保育所,キヌホイクショ,栃木県小山市大字高椅482-1,,36.336637,139.892718,事務室,(0285)49-0046,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000023,栃木県,小山市,摩利支天塚・琵琶塚古墳資料館,マリシテンヅカビワヅカコフンシリョウカン,栃木県小山市飯塚335,,36.374233,139.808962,事務室,(0285)24-5501,,4000020092088,小山市,火水木金土日,9:00,16:30,資料館の開館日に従う。,有,,
092088,0111000024,栃木県,小山市,もみじ保育所,モミジホイクショ,栃木県小山市暁3-11-2,,36.254258,139.76266,事務室,(0285)45-3238,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000025,栃木県,小山市,中久喜保育所,ナカクキホイクショ,栃木県小山市中久喜1093-1,,36.31486,139.84502,事務室,(0285)25-4782,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000026,栃木県,小山市,網戸保育所,アジトホイクショ,栃木県小山市網戸758-1,,36.277168,139.748835,事務室,(0285)45-5016,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000027,栃木県,小山市,出井保育所,イデイホイクショ,栃木県小山市大字出井1060-1,,36.329396,139.850994,事務室,(0285)23-3047,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000028,栃木県,小山市,間々田北保育所,ママダキタホイクショ,栃木県小山市大字間々田2443-1,,36.276936,139.77131,事務室,(0285)45-4749,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000029,栃木県,小山市,城北児童センター,ジョウホクジドウセンター,栃木県小山市駅東通り3-25-2,,36.321576,139.814521,事務室,(0285)24-0629,,4000020092088,小山市,火水木金土日,9:30,18:00,児童センターの開館日に従う。,有,,
092088,0111000030,栃木県,小山市,駅南児童センター,エキミナミジドウセンター,栃木県駅南町2-11-5,,36.302693,139.805688,事務室,(0285)27-0594,,4000020092088,小山市,火水木金土日,9:30,18:00,児童センターの開館日に従う。,有,,
092088,0111000031,栃木県,小山市,勤労青少年ホーム,キンロウセイショウネンホーム,栃木県小山市犬塚3-1-2,,36.313855,139.827314,事務室,(0285)23-3402,,4000020092088,小山市,月火水木金土日,9:00,21:00,土、日、祝日は9:00～17:00。年末年始を除く。,有,,
092088,0111000032,栃木県,小山市,小山市ふれあい健康センター,オヤマシフレアイケンコウセンター,栃木県小山市大字外城546,,36.295309,139.780338,事務室,(0285)30-3700,,4000020092088,小山市,火水木金土日,9:30,19:30,年末年始を除く。,有,,
092088,0111000033,栃木県,小山市,市民活動センター,シミンカツドウセンター,栃木県小山市城山町3-7-5,サクラコモンビル2階,36.315228,139.805023,2階事務室,(0285)20-5562,,4000020092088,小山市,月火水木金土日,9:00,21:00,年末年始を除く。,有,,
